text,label
"Ansible, SQL, Penetration Testing, TensorFlow and have worked on related projects.","Ansible, SQL, Penetration Testing, TensorFlow"
"Deep Learning, Terraform, SIEM, Python and have worked on related projects.","Deep Learning, Terraform, SIEM, Python"
"Deep Learning, CI/CD, Leadership, SQL and have worked on related projects.","Deep Learning, CI/CD, Leadership, SQL"
"C++, Ansible and have worked on related projects.","C++, Ansible"
"SOC Analysis, Deep Learning and have worked on related projects.","SOC Analysis, Deep Learning"
"C++, Leadership, Ethical Hacking and have worked on related projects.","C++, Leadership, Ethical Hacking"
"Kotlin, Leadership, GCP, Scikit-learn and have worked on related projects.","Kotlin, Leadership, GCP, Scikit-learn"
"Python, Leadership, CI/CD and have worked on related projects.","Python, Leadership, CI/CD"
"Deep Learning, Network Security and have worked on related projects.","Deep Learning, Network Security"
"Kubernetes, Teamwork, Go, Scikit-learn and have worked on related projects.","Kubernetes, Teamwork, Go, Scikit-learn"
"Time Management, GCP, Network Security, Swift and have worked on related projects.","Time Management, GCP, Network Security, Swift"
"AWS, Python, SIEM and have worked on related projects.","AWS, Python, SIEM"
"Deep Learning, SOC Analysis, Ansible and have worked on related projects.","Deep Learning, SOC Analysis, Ansible"
"Penetration Testing, Communication and have worked on related projects.","Penetration Testing, Communication"
"Problem Solving, Ethical Hacking, Scikit-learn, Docker and have worked on related projects.","Problem Solving, Ethical Hacking, Scikit-learn, Docker"
"C++, PyTorch, SIEM and have worked on related projects.","C++, PyTorch, SIEM"
"Terraform, Kotlin, TensorFlow, Time Management and have worked on related projects.","Terraform, Kotlin, TensorFlow, Time Management"
"PyTorch, Kubernetes, Communication and have worked on related projects.","PyTorch, Kubernetes, Communication"
"Pandas, SIEM and have worked on related projects.","Pandas, SIEM"
"Teamwork, Ansible, Kotlin and have worked on related projects.","Teamwork, Ansible, Kotlin"
"Leadership, Ethical Hacking and have worked on related projects.","Leadership, Ethical Hacking"
"Deep Learning, CI/CD, SIEM, Time Management and have worked on related projects.","Deep Learning, CI/CD, SIEM, Time Management"
"Pandas, Kotlin and have worked on related projects.","Pandas, Kotlin"
"SIEM, Machine Learning and have worked on related projects.","SIEM, Machine Learning"
"JavaScript, Azure, Leadership and have worked on related projects.","JavaScript, Azure, Leadership"
"Time Management, C++, Pandas and have worked on related projects.","Time Management, C++, Pandas"
"SOC Analysis, Teamwork, Machine Learning, Kubernetes and have worked on related projects.","SOC Analysis, Teamwork, Machine Learning, Kubernetes"
"Time Management, Kubernetes and have worked on related projects.","Time Management, Kubernetes"
"Time Management, Network Security and have worked on related projects.","Time Management, Network Security"
"CI/CD, Machine Learning and have worked on related projects.","CI/CD, Machine Learning"
"Ansible, Python, Problem Solving and have worked on related projects.","Ansible, Python, Problem Solving"
"Ethical Hacking, Teamwork, Ruby, Scikit-learn and have worked on related projects.","Ethical Hacking, Teamwork, Ruby, Scikit-learn"
"Java, SIEM, Scikit-learn, Time Management and have worked on related projects.","Java, SIEM, Scikit-learn, Time Management"
"Pandas, GCP, Network Security, Go and have worked on related projects.","Pandas, GCP, Network Security, Go"
"Network Security, Pandas, Go, Docker and have worked on related projects.","Network Security, Pandas, Go, Docker"
"Swift, Docker and have worked on related projects.","Swift, Docker"
"Penetration Testing, Time Management, Ruby, Scikit-learn and have worked on related projects.","Penetration Testing, Time Management, Ruby, Scikit-learn"
"JavaScript, Network Security, Teamwork, Jenkins and have worked on related projects.","JavaScript, Network Security, Teamwork, Jenkins"
"AWS, Scikit-learn, Penetration Testing, Teamwork and have worked on related projects.","AWS, Scikit-learn, Penetration Testing, Teamwork"
"Pandas, Terraform and have worked on related projects.","Pandas, Terraform"
"Problem Solving, Scikit-learn and have worked on related projects.","Problem Solving, Scikit-learn"
"Ethical Hacking, TensorFlow, Teamwork and have worked on related projects.","Ethical Hacking, TensorFlow, Teamwork"
"JavaScript, Time Management, Deep Learning and have worked on related projects.","JavaScript, Time Management, Deep Learning"
"Time Management, C++, Scikit-learn and have worked on related projects.","Time Management, C++, Scikit-learn"
"Teamwork, SOC Analysis, Deep Learning and have worked on related projects.","Teamwork, SOC Analysis, Deep Learning"
"TensorFlow, Teamwork and have worked on related projects.","TensorFlow, Teamwork"
"Leadership, Ethical Hacking, Azure, Deep Learning and have worked on related projects.","Leadership, Ethical Hacking, Azure, Deep Learning"
"Terraform, Time Management, SQL and have worked on related projects.","Terraform, Time Management, SQL"
"Network Security, Communication, Kotlin and have worked on related projects.","Network Security, Communication, Kotlin"
"Network Security, CI/CD and have worked on related projects.","Network Security, CI/CD"
"Ansible, Machine Learning, Teamwork, Ethical Hacking and have worked on related projects.","Ansible, Machine Learning, Teamwork, Ethical Hacking"
"Teamwork, Go, Ethical Hacking and have worked on related projects.","Teamwork, Go, Ethical Hacking"
"Communication, Deep Learning, SIEM, Docker and have worked on related projects.","Communication, Deep Learning, SIEM, Docker"
"PHP, Scikit-learn, SIEM and have worked on related projects.","PHP, Scikit-learn, SIEM"
"Machine Learning, Leadership, Java, SIEM and have worked on related projects.","Machine Learning, Leadership, Java, SIEM"
"Docker, Scikit-learn and have worked on related projects.","Docker, Scikit-learn"
"TensorFlow, Jenkins, Communication, C++ and have worked on related projects.","TensorFlow, Jenkins, Communication, C++"
"Network Security, Ruby, Pandas and have worked on related projects.","Network Security, Ruby, Pandas"
"CI/CD, TensorFlow, Penetration Testing, Java and have worked on related projects.","CI/CD, TensorFlow, Penetration Testing, Java"
"Python, Ethical Hacking and have worked on related projects.","Python, Ethical Hacking"
"Network Security, Leadership and have worked on related projects.","Network Security, Leadership"
"Leadership, Scikit-learn and have worked on related projects.","Leadership, Scikit-learn"
"Teamwork, Deep Learning and have worked on related projects.","Teamwork, Deep Learning"
"Leadership, Pandas and have worked on related projects.","Leadership, Pandas"
"Time Management, GCP and have worked on related projects.","Time Management, GCP"
"Azure, SQL and have worked on related projects.","Azure, SQL"
"Scikit-learn, Time Management, SOC Analysis and have worked on related projects.","Scikit-learn, Time Management, SOC Analysis"
"Machine Learning, Jenkins, SIEM and have worked on related projects.","Machine Learning, Jenkins, SIEM"
"Ruby, TensorFlow, SIEM, Time Management and have worked on related projects.","Ruby, TensorFlow, SIEM, Time Management"
"Leadership, Pandas, Ansible and have worked on related projects.","Leadership, Pandas, Ansible"
"Deep Learning, SIEM, Problem Solving and have worked on related projects.","Deep Learning, SIEM, Problem Solving"
"Problem Solving, Deep Learning, Jenkins, SOC Analysis and have worked on related projects.","Problem Solving, Deep Learning, Jenkins, SOC Analysis"
"Azure, SOC Analysis, Problem Solving and have worked on related projects.","Azure, SOC Analysis, Problem Solving"
"Time Management, Kotlin, Ansible, Penetration Testing and have worked on related projects.","Time Management, Kotlin, Ansible, Penetration Testing"
"GCP, Ruby, Ethical Hacking and have worked on related projects.","GCP, Ruby, Ethical Hacking"
"Penetration Testing, Problem Solving, Kotlin, Ansible and have worked on related projects.","Penetration Testing, Problem Solving, Kotlin, Ansible"
"Scikit-learn, AWS, Go, Problem Solving and have worked on related projects.","Scikit-learn, AWS, Go, Problem Solving"
"Pandas, Azure, Problem Solving, Ruby and have worked on related projects.","Pandas, Azure, Problem Solving, Ruby"
"Jenkins, Time Management, SIEM, Swift and have worked on related projects.","Jenkins, Time Management, SIEM, Swift"
"CI/CD, Go and have worked on related projects.","CI/CD, Go"
"Scikit-learn, Teamwork, SQL and have worked on related projects.","Scikit-learn, Teamwork, SQL"
"Java, Azure and have worked on related projects.","Java, Azure"
"SIEM, PyTorch, Ansible and have worked on related projects.","SIEM, PyTorch, Ansible"
"Swift, Penetration Testing, Scikit-learn, Docker and have worked on related projects.","Swift, Penetration Testing, Scikit-learn, Docker"
"Network Security, Go and have worked on related projects.","Network Security, Go"
"Go, Time Management, SOC Analysis and have worked on related projects.","Go, Time Management, SOC Analysis"
"Teamwork, Pandas, SOC Analysis and have worked on related projects.","Teamwork, Pandas, SOC Analysis"
"Pandas, Azure, Ethical Hacking, Teamwork and have worked on related projects.","Pandas, Azure, Ethical Hacking, Teamwork"
"Deep Learning, Communication and have worked on related projects.","Deep Learning, Communication"
"Deep Learning, Penetration Testing and have worked on related projects.","Deep Learning, Penetration Testing"
"C++, Problem Solving and have worked on related projects.","C++, Problem Solving"
"AWS, Time Management and have worked on related projects.","AWS, Time Management"
"Go, Jenkins, Ethical Hacking and have worked on related projects.","Go, Jenkins, Ethical Hacking"
"Python, SIEM and have worked on related projects.","Python, SIEM"
"Communication, SQL, Ethical Hacking and have worked on related projects.","Communication, SQL, Ethical Hacking"
"Terraform, Go, Deep Learning and have worked on related projects.","Terraform, Go, Deep Learning"
"Java, Jenkins, SOC Analysis and have worked on related projects.","Java, Jenkins, SOC Analysis"
"Ethical Hacking, Jenkins and have worked on related projects.","Ethical Hacking, Jenkins"
"Penetration Testing, Machine Learning, Docker, Communication and have worked on related projects.","Penetration Testing, Machine Learning, Docker, Communication"
"Kotlin, SOC Analysis, Leadership, Azure and have worked on related projects.","Kotlin, SOC Analysis, Leadership, Azure"
"Time Management, GCP, Deep Learning, SQL and have worked on related projects.","Time Management, GCP, Deep Learning, SQL"
"SOC Analysis, PyTorch and have worked on related projects.","SOC Analysis, PyTorch"
"SOC Analysis, Problem Solving, Swift, Machine Learning and have worked on related projects.","SOC Analysis, Problem Solving, Swift, Machine Learning"
"Leadership, Network Security and have worked on related projects.","Leadership, Network Security"
"TensorFlow, Communication, Docker and have worked on related projects.","TensorFlow, Communication, Docker"
"Ruby, Communication, Docker, Deep Learning and have worked on related projects.","Ruby, Communication, Docker, Deep Learning"
"SIEM, SQL, Machine Learning and have worked on related projects.","SIEM, SQL, Machine Learning"
"Leadership, Terraform, JavaScript, Ethical Hacking and have worked on related projects.","Leadership, Terraform, JavaScript, Ethical Hacking"
"Leadership, GCP, Java and have worked on related projects.","Leadership, GCP, Java"
"Communication, Network Security and have worked on related projects.","Communication, Network Security"
"Problem Solving, Pandas, Kotlin and have worked on related projects.","Problem Solving, Pandas, Kotlin"
"CI/CD, Java and have worked on related projects.","CI/CD, Java"
"SOC Analysis, Communication, TensorFlow and have worked on related projects.","SOC Analysis, Communication, TensorFlow"
"Jenkins, Penetration Testing, Pandas, JavaScript and have worked on related projects.","Jenkins, Penetration Testing, Pandas, JavaScript"
"AWS, Deep Learning, C++ and have worked on related projects.","AWS, Deep Learning, C++"
"Pandas, Ruby, CI/CD, Time Management and have worked on related projects.","Pandas, Ruby, CI/CD, Time Management"
"SOC Analysis, Scikit-learn, Communication and have worked on related projects.","SOC Analysis, Scikit-learn, Communication"
"SQL, Kubernetes, PyTorch, Communication and have worked on related projects.","SQL, Kubernetes, PyTorch, Communication"
"Kotlin, SOC Analysis and have worked on related projects.","Kotlin, SOC Analysis"
"SOC Analysis, Machine Learning and have worked on related projects.","SOC Analysis, Machine Learning"
"Pandas, Azure, Problem Solving, Penetration Testing and have worked on related projects.","Pandas, Azure, Problem Solving, Penetration Testing"
"Teamwork, Go, Ethical Hacking, Ansible and have worked on related projects.","Teamwork, Go, Ethical Hacking, Ansible"
"C++, Teamwork and have worked on related projects.","C++, Teamwork"
"Deep Learning, Ansible and have worked on related projects.","Deep Learning, Ansible"
"Penetration Testing, Teamwork and have worked on related projects.","Penetration Testing, Teamwork"
"Teamwork, Go, Penetration Testing and have worked on related projects.","Teamwork, Go, Penetration Testing"
"Deep Learning, Python, Penetration Testing and have worked on related projects.","Deep Learning, Python, Penetration Testing"
"Azure, Scikit-learn and have worked on related projects.","Azure, Scikit-learn"
"AWS, Time Management and have worked on related projects.","AWS, Time Management"
"Ruby, SOC Analysis and have worked on related projects.","Ruby, SOC Analysis"
"PyTorch, Java, SOC Analysis, Jenkins and have worked on related projects.","PyTorch, Java, SOC Analysis, Jenkins"
"Ruby, Ethical Hacking and have worked on related projects.","Ruby, Ethical Hacking"
"SOC Analysis, Communication, Pandas and have worked on related projects.","SOC Analysis, Communication, Pandas"
"Swift, SOC Analysis and have worked on related projects.","Swift, SOC Analysis"
"Time Management, Ethical Hacking, Jenkins, PyTorch and have worked on related projects.","Time Management, Ethical Hacking, Jenkins, PyTorch"
"Teamwork, Kubernetes, Deep Learning and have worked on related projects.","Teamwork, Kubernetes, Deep Learning"
"Network Security, Python, Kubernetes, TensorFlow and have worked on related projects.","Network Security, Python, Kubernetes, TensorFlow"
"CI/CD, Deep Learning, Teamwork, JavaScript and have worked on related projects.","CI/CD, Deep Learning, Teamwork, JavaScript"
"Teamwork, Docker, JavaScript and have worked on related projects.","Teamwork, Docker, JavaScript"
"Java, Teamwork, TensorFlow, Network Security and have worked on related projects.","Java, Teamwork, TensorFlow, Network Security"
"Ethical Hacking, Kubernetes and have worked on related projects.","Ethical Hacking, Kubernetes"
"Penetration Testing, Problem Solving and have worked on related projects.","Penetration Testing, Problem Solving"
"Penetration Testing, C++, Jenkins and have worked on related projects.","Penetration Testing, C++, Jenkins"
"Kotlin, Deep Learning, Penetration Testing, AWS and have worked on related projects.","Kotlin, Deep Learning, Penetration Testing, AWS"
"Communication, GCP, SIEM, PyTorch and have worked on related projects.","Communication, GCP, SIEM, PyTorch"
"CI/CD, JavaScript and have worked on related projects.","CI/CD, JavaScript"
"CI/CD, C++ and have worked on related projects.","CI/CD, C++"
"GCP, Penetration Testing and have worked on related projects.","GCP, Penetration Testing"
"Communication, Docker, Pandas and have worked on related projects.","Communication, Docker, Pandas"
"SIEM, Time Management, TensorFlow, JavaScript and have worked on related projects.","SIEM, Time Management, TensorFlow, JavaScript"
"Docker, Problem Solving, TensorFlow and have worked on related projects.","Docker, Problem Solving, TensorFlow"
"PyTorch, SOC Analysis and have worked on related projects.","PyTorch, SOC Analysis"
"Machine Learning, Communication, JavaScript and have worked on related projects.","Machine Learning, Communication, JavaScript"
"Machine Learning, Time Management and have worked on related projects.","Machine Learning, Time Management"
"PyTorch, Python, SIEM and have worked on related projects.","PyTorch, Python, SIEM"
"Communication, Network Security, Go and have worked on related projects.","Communication, Network Security, Go"
"SQL, Terraform and have worked on related projects.","SQL, Terraform"
"Communication, Deep Learning, Network Security, CI/CD and have worked on related projects.","Communication, Deep Learning, Network Security, CI/CD"
"Problem Solving, Docker, Scikit-learn and have worked on related projects.","Problem Solving, Docker, Scikit-learn"
"Time Management, Pandas, SIEM and have worked on related projects.","Time Management, Pandas, SIEM"
"TensorFlow, JavaScript, Time Management and have worked on related projects.","TensorFlow, JavaScript, Time Management"
"Ruby, CI/CD, SOC Analysis and have worked on related projects.","Ruby, CI/CD, SOC Analysis"
"SIEM, Python, Leadership, PyTorch and have worked on related projects.","SIEM, Python, Leadership, PyTorch"
"Ansible, Network Security, TensorFlow, Python and have worked on related projects.","Ansible, Network Security, TensorFlow, Python"
"Penetration Testing, TensorFlow and have worked on related projects.","Penetration Testing, TensorFlow"
"SIEM, Communication, Deep Learning, Docker and have worked on related projects.","SIEM, Communication, Deep Learning, Docker"
"Communication, TensorFlow, Ansible and have worked on related projects.","Communication, TensorFlow, Ansible"
"Java, Communication and have worked on related projects.","Java, Communication"
"Pandas, AWS, Network Security, Kotlin and have worked on related projects.","Pandas, AWS, Network Security, Kotlin"
"Kotlin, Scikit-learn and have worked on related projects.","Kotlin, Scikit-learn"
"Time Management, Python, SIEM, Docker and have worked on related projects.","Time Management, Python, SIEM, Docker"
"AWS, Java, Pandas, SOC Analysis and have worked on related projects.","AWS, Java, Pandas, SOC Analysis"
"AWS, TensorFlow, Ethical Hacking and have worked on related projects.","AWS, TensorFlow, Ethical Hacking"
"Leadership, Java and have worked on related projects.","Leadership, Java"
"Deep Learning, SOC Analysis, Time Management and have worked on related projects.","Deep Learning, SOC Analysis, Time Management"
"Jenkins, C++, TensorFlow, Network Security and have worked on related projects.","Jenkins, C++, TensorFlow, Network Security"
"Terraform, SOC Analysis, Machine Learning and have worked on related projects.","Terraform, SOC Analysis, Machine Learning"
"Docker, Time Management and have worked on related projects.","Docker, Time Management"
"Time Management, Deep Learning, SOC Analysis and have worked on related projects.","Time Management, Deep Learning, SOC Analysis"
"Pandas, SOC Analysis and have worked on related projects.","Pandas, SOC Analysis"
"Scikit-learn, SOC Analysis, Problem Solving and have worked on related projects.","Scikit-learn, SOC Analysis, Problem Solving"
"SIEM, CI/CD and have worked on related projects.","SIEM, CI/CD"
"Machine Learning, Kotlin, Azure, Communication and have worked on related projects.","Machine Learning, Kotlin, Azure, Communication"
"Ethical Hacking, Problem Solving, Deep Learning, Ansible and have worked on related projects.","Ethical Hacking, Problem Solving, Deep Learning, Ansible"
"Penetration Testing, Deep Learning, Communication, C++ and have worked on related projects.","Penetration Testing, Deep Learning, Communication, C++"
"Swift, Penetration Testing and have worked on related projects.","Swift, Penetration Testing"
"Java, Pandas, Time Management and have worked on related projects.","Java, Pandas, Time Management"
"SQL, Ethical Hacking, PyTorch and have worked on related projects.","SQL, Ethical Hacking, PyTorch"
"Pandas, C++ and have worked on related projects.","Pandas, C++"
"Ruby, Network Security and have worked on related projects.","Ruby, Network Security"
"Penetration Testing, C++ and have worked on related projects.","Penetration Testing, C++"
"Java, SOC Analysis and have worked on related projects.","Java, SOC Analysis"
"Teamwork, Ethical Hacking, JavaScript and have worked on related projects.","Teamwork, Ethical Hacking, JavaScript"
"PHP, Jenkins, Problem Solving and have worked on related projects.","PHP, Jenkins, Problem Solving"
"Time Management, Terraform, PyTorch and have worked on related projects.","Time Management, Terraform, PyTorch"
